sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
132,0000.0003.0004.0009.0007.0003,3,3,A,,Document level allowance VAT rate,Percentage,0..1,,"Project-defined Document level allowance VAT rate in the Document level allowance context, represented as Percentage.",en16931,Document level allowance,BT-96,$.invoice.documentLevelAllowances.documentLevelAllowanceVatRate,,,DocumentLevelAllowanceVatRate,ram:RateApplicablePercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CategoryTradeTax[ram:TypeCode='VAT']/ram:RateApplicablePercent,,,false,
133,0000.0003.0004.0009.0006,3,3,A,,Document level allowance reason,Text,0..1,,"Project-defined Document level allowance reason in the Document level allowance context, represented as Text.",en16931,Document level allowance,BT-97,$.invoice.documentLevelAllowances.documentLevelAllowanceReason,,,DocumentLevelAllowanceReason,ram:Reason,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:Reason,,,false,
134,0000.0003.0004.0009.0005,3,3,A,,Document level allowance reason code,Code,0..1,,"Project-defined Document level allowance reason code in the Document level allowance context, represented as Code.",en16931,Document level allowance,BT-98,$.invoice.documentLevelAllowances.documentLevelAllowanceReasonCode,,,DocumentLevelAllowanceReasonCode,ram:ReasonCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:ReasonCode,,,false,
135,0000.0003.0004.0009,2,2,C,,Document level charges,,0..*,,"Project-defined Document level charges in the Document level charge context, represented as structured information.",en16931,Document level charge,BG-21,$.invoice.documentLevelCharges,,,DocumentLevelCharges,ram:SpecifiedTradeAllowanceCharge,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true'],,,false,
136,0000.0003.0004.0009.0004,3,3,A,,Document level charge amount,Amount,1..1,,"Project-defined Document level charge amount in the Document level charge context, represented as Amount.",en16931,Document level charge,BT-99,$.invoice.documentLevelCharges.documentLevelChargeAmount,,,DocumentLevelChargeAmount,ram:ActualAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:ActualAmount,,,true,
137,0000.0003.0004.0009.0003,3,3,A,,Document level charge base amount,Amount,0..1,,"Project-defined Document level charge base amount in the Document level charge context, represented as Amount.",en16931,Document level charge,BT-100,$.invoice.documentLevelCharges.documentLevelChargeBaseAmount,,,DocumentLevelChargeBaseAmount,ram:BasisAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:BasisAmount,,,false,
138,0000.0003.0004.0009.0002,3,3,A,,Document level charge percentage,Percentage,0..1,,"Project-defined Document level charge percentage in the Document level charge context, represented as Percentage.",en16931,Document level charge,BT-101,$.invoice.documentLevelCharges.documentLevelChargePercentage,,,DocumentLevelChargePercentage,ram:CalculationPercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:CalculationPercent,,,false,
139,0000.0003.0004.0009.0007.0002,3,3,A,,Document level charge VAT category code,Code,1..1,,"Project-defined Document level charge VAT category code in the Document level charge context, represented as Code.",en16931,Document level charge,BT-102,$.invoice.documentLevelCharges.documentLevelChargeVatCategoryCode,,,DocumentLevelChargeVatCategoryCode,ram:CategoryCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:CategoryTradeTax[ram:TypeCode='VAT']/ram:CategoryCode,,,true,
140,0000.0003.0004.0009.0007.0003,3,3,A,,Document level charge VAT rate,Percentage,0..1,,"Project-defined Document level charge VAT rate in the Document level charge context, represented as Percentage.",en16931,Document level charge,BT-103,$.invoice.documentLevelCharges.documentLevelChargeVatRate,,,DocumentLevelChargeVatRate,ram:RateApplicablePercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:CategoryTradeTax[ram:TypeCode='VAT']/ram:RateApplicablePercent,,,false,
141,0000.0003.0004.0009.0006,3,3,A,,Document level charge reason,Text,0..1,,"Project-defined Document level charge reason in the Document level charge context, represented as Text.",en16931,Document level charge,BT-104,$.invoice.documentLevelCharges.documentLevelChargeReason,,,DocumentLevelChargeReason,ram:Reason,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:Reason,,,false,
142,0000.0003.0004.0009.0005,3,3,A,,Document level charge reason code,Code,0..1,,"Project-defined Document level charge reason code in the Document level charge context, represented as Code.",en16931,Document level charge,BT-105,$.invoice.documentLevelCharges.documentLevelChargeReasonCode,,,DocumentLevelChargeReasonCode,ram:ReasonCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:ReasonCode,,,false,
143,0000.0003.0004.0011,2,2,C,,Document totals,,1..1,,"Project-defined Document totals in the Document total context, represented as structured information.",en16931,Document total,BG-22,$.invoice.documentTotals,,,DocumentTotals,ram:SpecifiedTradeSettlementHeaderMonetarySummation,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation,,,true,
144,0000.0003.0004.0011.0001,3,3,A,,Sum of invoice line net amount,Amount,1..1,,"Project-defined Sum of invoice line net amount in the Document total context, represented as Amount.",en16931,Document total,BT-106,$.invoice.documentTotals.sumOfInvoiceLineNetAmount,,,SumOfInvoiceLineNetAmount,ram:LineTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:LineTotalAmount,,,true,
145,0000.0003.0004.0011.0003,3,3,A,,Sum of allowances on document level,Amount,0..1,,"Project-defined Sum of allowances on document level in the Document total context, represented as Amount.",en16931,Document total,BT-107,$.invoice.documentTotals.sumOfAllowancesOnDocumentLevel,,,SumOfAllowancesOnDocumentLevel,ram:AllowanceTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:AllowanceTotalAmount,,,false,
146,0000.0003.0004.0011.0002,3,3,A,,Sum of charges on document level,Amount,0..1,,"Project-defined Sum of charges on document level in the Document total context, represented as Amount.",en16931,Document total,BT-108,$.invoice.documentTotals.sumOfChargesOnDocumentLevel,,,SumOfChargesOnDocumentLevel,ram:ChargeTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:ChargeTotalAmount,,,false,
147,0000.0003.0004.0011.0004,3,3,A,,Invoice total amount without VAT,Amount,1..1,,"Project-defined Invoice total amount without VAT in the Document total context, represented as Amount.",en16931,Document total,BT-109,$.invoice.documentTotals.invoiceTotalAmountWithoutVat,,,InvoiceTotalAmountWithoutVat,ram:TaxBasisTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:TaxBasisTotalAmount,,,true,
148,0000.0003.0004.0011.0005,3,3,A,,Invoice total VAT amount,Amount,1..1,,"Project-defined Invoice total VAT amount in the Document total context, represented as Amount.",en16931,Document total,BT-110,$.invoice.documentTotals.invoiceTotalVatAmount,,,InvoiceTotalVatAmount,ram:TaxTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:TaxTotalAmount,,CII_TAX_TOTAL_DOCUMENT_CURRENCY,true,
149,0000.0003.0004.0011.0005,3,3,A,,Invoice total VAT amount in accounting currency,Amount,0..1,,"Project-defined Invoice total VAT amount in accounting currency in the Document total context, represented as Amount.",en16931,Document total,BT-111,$.invoice.documentTotals.invoiceTotalVatAmountInAccountingCurrency,,,InvoiceTotalVatAmountInAccountingCurrency,ram:TaxTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:TaxTotalAmount,,CII_TAX_TOTAL_ACCOUNTING_CURRENCY,false,
150,0000.0003.0004.0011.0007,3,3,A,,Invoice total amount with VAT,Amount,1..1,,"Project-defined Invoice total amount with VAT in the Document total context, represented as Amount.",en16931,Document total,BT-112,$.invoice.documentTotals.invoiceTotalAmountWithVat,,,InvoiceTotalAmountWithVat,ram:GrandTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:GrandTotalAmount,,,true,
151,0000.0003.0004.0011.0008,3,3,A,,Paid amount,Amount,0..1,,"Project-defined Paid amount in the Document total context, represented as Amount.",en16931,Document total,BT-113,$.invoice.documentTotals.paidAmount,,,PaidAmount,ram:TotalPrepaidAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:TotalPrepaidAmount,,,false,
152,0000.0003.0004.0011.0006,3,3,A,,Rounding amount,Amount,0..1,,"Project-defined Rounding amount in the Document total context, represented as Amount.",en16931,Document total,BT-114,$.invoice.documentTotals.roundingAmount,,,RoundingAmount,ram:RoundingAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:RoundingAmount,,,false,
153,0000.0003.0004.0011.0009,3,3,A,,Amount due for payment,Amount,1..1,,"Project-defined Amount due for payment in the Document total context, represented as Amount.",en16931,Document total,BT-115,$.invoice.documentTotals.amountDueForPayment,,,AmountDueForPayment,ram:DuePayableAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:DuePayableAmount,,,true,
154,0000.0003.0004.0007,2,2,C,,VAT breakdown,,1..*,,"Project-defined VAT breakdown in the VAT breakdown context, represented as structured information.",en16931,VAT breakdown,BG-23,$.invoice.vatBreakdown,,,VatBreakdown,ram:ApplicableTradeTax,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT'],,,true,
155,0000.0003.0004.0007.0004,3,3,A,,VAT category taxable amount,Amount,1..1,,"Project-defined VAT category taxable amount in the VAT breakdown context, represented as Amount.",en16931,VAT breakdown,BT-116,$.invoice.vatBreakdown.vatCategoryTaxableAmount,,,VatCategoryTaxableAmount,ram:BasisAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:BasisAmount,,,true,
156,0000.0003.0004.0007.0001,3,3,A,,VAT category tax amount,Amount,1..1,,"Project-defined VAT category tax amount in the VAT breakdown context, represented as Amount.",en16931,VAT breakdown,BT-117,$.invoice.vatBreakdown.vatCategoryTaxAmount,,,VatCategoryTaxAmount,ram:CalculatedAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:CalculatedAmount,,,true,
157,0000.0003.0004.0007.0005,3,3,A,,VAT category code,Code,1..1,,"Project-defined VAT category code in the VAT breakdown context, represented as Code.",en16931,VAT breakdown,BT-118,$.invoice.vatBreakdown.vatCategoryCode,,,VatCategoryCode,ram:CategoryCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:CategoryCode,,,true,
158,0000.0003.0004.0007.0009,3,3,A,,VAT category rate,Decimal,0..1,,"Project-defined VAT category rate in the VAT breakdown context, represented as Decimal.",en16931,VAT breakdown,BT-119,$.invoice.vatBreakdown.vatCategoryRate,,,VatCategoryRate,ram:RateApplicablePercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:RateApplicablePercent,,,false,
159,0000.0003.0004.0007.0003,3,3,A,,VAT exemption reason text,Text,0..1,,"Project-defined VAT exemption reason text in the VAT breakdown context, represented as Text.",en16931,VAT breakdown,BT-120,$.invoice.vatBreakdown.vatExemptionReasonText,,,VatExemptionReasonText,ram:ExemptionReason,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:ExemptionReason,,,false,
160,0000.0003.0004.0007.0006,3,3,A,,VAT exemption reason code,Code,0..1,,"Project-defined VAT exemption reason code in the VAT breakdown context, represented as Code.",en16931,VAT breakdown,BT-121,$.invoice.vatBreakdown.vatExemptionReasonCode,,,VatExemptionReasonCode,ram:ExemptionReasonCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:ExemptionReasonCode,,,false,
161,0000.0003.0002.0008,2,2,C,,Additional supporting documents,,0..*,,"Project-defined Additional supporting documents in the Additional supporting document context, represented as structured information.",en16931,Additional supporting document,BG-24,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][not(attachedDocument)],,,AdditionalSupportingDocuments,ram:AdditionalReferencedDocument,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916'],,,false,
161,0000.0003.0002.0008,2,2,C,,Additional supporting documents,,0..*,,"Project-defined Additional supporting documents in the Additional supporting document context, represented as structured information.",en16931,Additional supporting document,BG-24,$.invoice.additionalSupportingDocuments[externalDocumentLocation][not(attachedDocument)],,,AdditionalSupportingDocuments,ram:AdditionalReferencedDocument,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916'],,,false,
161,0000.0003.0002.0008,2,2,C,,Additional supporting documents,,0..*,,"Project-defined Additional supporting documents in the Additional supporting document context, represented as structured information.",en16931,Additional supporting document,BG-24,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument],,,AdditionalSupportingDocuments,ram:AdditionalReferencedDocument,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916'],,,false,
162,0000.0003.0002.0008.0001,3,3,A,,Supporting document reference,Identifier,1..1,,"Project-defined Supporting document reference in the Additional supporting document context, represented as Identifier.",en16931,Additional supporting document,BT-122,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][not(attachedDocument)].supportingDocumentReference,,,SupportingDocumentReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:IssuerAssignedID,,,true,
162,0000.0003.0002.0008.0001,3,3,A,,Supporting document reference,Identifier,1..1,,"Project-defined Supporting document reference in the Additional supporting document context, represented as Identifier.",en16931,Additional supporting document,BT-122,$.invoice.additionalSupportingDocuments[externalDocumentLocation][not(attachedDocument)].supportingDocumentReference,,,SupportingDocumentReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:IssuerAssignedID,,,true,
162,0000.0003.0002.0008.0001,3,3,A,,Supporting document reference,Identifier,1..1,,"Project-defined Supporting document reference in the Additional supporting document context, represented as Identifier.",en16931,Additional supporting document,BT-122,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].supportingDocumentReference,,,SupportingDocumentReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:IssuerAssignedID,,,true,
163,0000.0003.0002.0008.0004,3,3,A,,Supporting document description,Text,0..1,,"Project-defined Supporting document description in the Additional supporting document context, represented as Text.",en16931,Additional supporting document,BT-123,$.invoice.additionalSupportingDocuments.supportingDocumentDescription,,,SupportingDocumentDescription,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:Name,,,false,
164,0000.0003.0002.0008.0002,3,3,A,,External document location,Identifier,0..1,,"Project-defined External document location in the Additional supporting document context, represented as Identifier.",en16931,Additional supporting document,BT-124,$.invoice.additionalSupportingDocuments[externalDocumentLocation][not(attachedDocument)].externalDocumentLocation,,,ExternalDocumentLocation,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:URIID,,,false,
165,0000.0003.0002.0008.0005,3,3,A,,Attached document,Binary object,0..1,,"Project-defined Attached document in the Additional supporting document context, represented as Binary object.",en16931,Additional supporting document,BT-125,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].attachedDocument,,,AttachedDocument,ram:AttachmentBinaryObject,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:AttachmentBinaryObject,,,false,
166,0000.0003.0002.0008.0005@mimeCode,3,3,A,,Attached document MIME code,Code,1..1,,"Project-defined Attached document MIME code in the Additional supporting document context, represented as Code.",en16931,Additional supporting document,BT-125-1,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].attachedDocumentMimeCode,,,AttachedDocumentMimeCode,@mimeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:AttachmentBinaryObject/@mimeCode,,,true,
167,0000.0003.0002.0008.0005@filename,3,3,A,,Attached document filename,Text,1..1,,"Project-defined Attached document filename in the Additional supporting document context, represented as Text.",en16931,Additional supporting document,BT-125-2,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].attachedDocumentFilename,,,AttachedDocumentFilename,@filename,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:AttachmentBinaryObject/@filename,,,true,
168,0000.0003.0001,2,2,C,,Invoice line,,1..*,,"Project-defined Invoice line in the Invoice line context, represented as structured information.",en16931,Invoice line,BG-25,$.invoice.invoiceLine,,,InvoiceLine,ram:IncludedSupplyChainTradeLineItem,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem,,,true,
169,0000.0003.0001.0001.0001,3,3,A,,Invoice line identifier,Identifier,1..1,,"Project-defined Invoice line identifier in the Invoice line context, represented as Identifier.",en16931,Invoice line,BT-126,$.invoice.invoiceLine.invoiceLineIdentifier,,,InvoiceLineIdentifier,ram:LineID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:LineID,,,true,
170,0000.0003.0001.0001.0002.0001,3,3,A,,Invoice line note,Text,0..1,,"Project-defined Invoice line note in the Invoice line context, represented as Text.",en16931,Invoice line,BT-127,$.invoice.invoiceLine.invoiceLineNote,,,InvoiceLineNote,ram:Content,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:IncludedNote/ram:Content,,,false,
171,0000.0003.0001.0005.0006.0001,3,3,A,,Invoice line object identifier,Identifier,0..1,,"Project-defined Invoice line object identifier in the Invoice line context, represented as Identifier.",en16931,Invoice line,BT-128,$.invoice.invoiceLine.invoiceLineObjectIdentifier,,,InvoiceLineObjectIdentifier,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:IssuerAssignedID,,,false,
172,0000.0003.0001.0005.0006.0003,3,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Invoice line context, represented as Identifier.",en16931,Invoice line,BT-128-1,$.invoice.invoiceLine.invoiceLineObjectIdentifierSchemeIdentifier,,,SchemeIdentifier,ram:ReferenceTypeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:ReferenceTypeCode,,,false,
173,0000.0003.0001.0004.0001,3,3,A,,Invoiced quantity,Quantity,0..1,,"Project-defined Invoiced quantity in the Invoice line context, represented as Quantity.",en16931,Invoice line,BT-129,$.invoice.invoiceLine.invoicedQuantity,,,InvoicedQuantity,ram:BilledQuantity,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeDelivery/ram:BilledQuantity,,,false,
174,0000.0003.0001.0004.0001@unitCode,3,3,A,,Invoiced quantity unit code,Code,0..1,,"Project-defined Invoiced quantity unit code in the Invoice line context, represented as Code.",en16931,Invoice line,BT-130,$.invoice.invoiceLine.invoicedQuantityUnitCode,,,InvoicedQuantityUnitCode,@unitCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeDelivery/ram:BilledQuantity/@unitCode,,,false,
175,0000.0003.0001.0005.0005.0001,3,3,A,,Invoice line net amount,Amount,1..1,,"Project-defined Invoice line net amount in the Invoice line context, represented as Amount.",en16931,Invoice line,BT-131,$.invoice.invoiceLine.invoiceLineNetAmount,,,InvoiceLineNetAmount,ram:LineTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeSettlementLineMonetarySummation/ram:LineTotalAmount,,,true,
176,0000.0003.0001.0003.0001.0001,3,3,A,,Referenced purchase order line reference,Identifier,0..1,,"Project-defined Referenced purchase order line reference in the Invoice line context, represented as Identifier.",en16931,Invoice line,BT-132,$.invoice.invoiceLine.referencedPurchaseOrderLineReference,,,ReferencedPurchaseOrderLineReference,ram:LineID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument/ram:LineID,,,false,
177,0000.0003.0001.0005.0007.0001,3,3,A,,Invoice line buyer accounting reference,Text,0..1,,"Project-defined Invoice line buyer accounting reference in the Invoice line context, represented as Text.",en16931,Invoice line,BT-133,$.invoice.invoiceLine.invoiceLineBuyerAccountingReference,,,InvoiceLineBuyerAccountingReference,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ReceivableSpecifiedTradeAccountingAccount/ram:ID,,,false,
178,0000.0003.0001.0005.0003,3,3,C,,Invoice line period,,0..1,,"Project-defined Invoice line period in the Invoice line period context, represented as structured information.",en16931,Invoice line period,BG-26,$.invoice.invoiceLine.invoiceLinePeriod,,,InvoiceLinePeriod,ram:BillingSpecifiedPeriod,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod,,,false,
179,0000.0003.0001.0005.0003.0001.0001,4,4,A,,Invoice line period start date,Date,0..1,,"Project-defined Invoice line period start date in the Invoice line period context, represented as Date.",en16931,Invoice line period,BT-134,$.invoice.invoiceLine.invoiceLinePeriod.invoiceLinePeriodStartDate,,,InvoiceLinePeriodStartDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString,,CII_DATE_102,false,
180,0000.0003.0001.0005.0003.0002.0001,4,4,A,,Invoice line period end date,Date,0..1,,"Project-defined Invoice line period end date in the Invoice line period context, represented as Date.",en16931,Invoice line period,BT-135,$.invoice.invoiceLine.invoiceLinePeriod.invoiceLinePeriodEndDate,,,InvoiceLinePeriodEndDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime/udt:DateTimeString,,CII_DATE_102,false,
181,0000.0003.0001.0005.0004,3,3,C,,Invoice line allowances,,0..*,,"Project-defined Invoice line allowances in the Invoice line allowance context, represented as structured information.",en16931,Invoice line allowance,BG-27,$.invoice.invoiceLine.invoiceLineAllowances,,,InvoiceLineAllowances,ram:SpecifiedTradeAllowanceCharge,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false'],,,false,
