伝票日付,伝票番号,仕訳区分,管理仕訳区分,借方税計算モード,借方部門コード,借方部門名,借方科目コード,借方科目名,借方補助コード,借方補助名,借方税区分コード,借方税区分名,借方金額,借方消費税額,貸方税計算モード,貸方部門コード,貸方部門名,貸方科目コード,貸方科目名,貸方補助コード,貸方補助名,貸方税区分コード,貸方税区分名,貸方金額,貸方消費税額,摘要文,数字１,数字２,入力プログラム区分,配賦元税計算,配賦元集計方法,配賦元集計開始日付,配賦元集計終了日付,配賦元管理仕訳区分,配賦元部門コード,配賦元部門名,配賦元科目コード,配賦元科目名,配賦元補助コード,配賦元補助名,配賦元金額,数字３,数字４,数字５,金額１,金額２,金額３,金額４,金額５,文字列１,文字列２,文字列３,文字列４,文字列５,入力日付時間,借方取引先コード,借方取引先名,借方セグメント１コード,借方セグメント１名,借方セグメント２コード,借方セグメント２名,借方セグメント３コード,借方セグメント３名,貸方取引先コード,貸方取引先名,貸方セグメント１コード,貸方セグメント１名,貸方セグメント２コード,貸方セグメント２名,貸方セグメント３コード,貸方セグメント３名,配賦選択,配賦元取引先コード,配賦元取引先名,配賦元セグメント１コード,配賦元セグメント１名,配賦元セグメント２コード,配賦元セグメント２名,配賦元セグメント３コード,配賦元セグメント３名
20210708,157,21,0,1,050,九州営業所,726,旅費交通費,,,Q5,仕入10%,45000,4090,1,000,共通部門,131,普通預金,50,MNO銀行 北九州,00,対象外,45000,0,航空券代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:32,,,,,,,,,,,,,,,,,,,,,,,,,
20210709,79,21,0,1,050,九州営業所,740,車両費,,,Q5,仕入10%,3519,319,1,000,共通部門,111,現金,,,00,対象外,3519,0,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:32,,,,,,,,,,,,,,,,,,,,,,,,,
20210709,143,21,0,1,040,大阪支店,740,車両費,,,Q5,仕入10%,40000,3636,1,000,共通部門,111,現金,,,00,対象外,40000,0,点検作業料,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:32,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,33,21,0,1,010,札幌営業所,747,地代家賃,,,Q5,仕入10%,320000,29090,1,000,共通部門,131,普通預金,10,DEF銀行 駅前,00,対象外,320000,0,家賃支払い,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:32,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,33,21,0,1,010,札幌営業所,727,通信費,,,Q5,仕入10%,155351,14122,1,000,共通部門,131,普通預金,10,DEF銀行 駅前,00,対象外,155351,0,電話代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:32,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,57,21,0,1,020,東京支店,726,旅費交通費,,,Q5,仕入10%,78074,7097,1,000,共通部門,111,現金,,,00,対象外,78074,0,架空鉄道会社A代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:32,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,65,21,0,1,040,大阪支店,747,地代家賃,,,Q5,仕入10%,840000,76363,1,000,共通部門,131,普通預金,40,JKL銀行 梅田,00,対象外,840000,0,家賃支払,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:32,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,67,21,0,1,010,札幌営業所,791,雑費,,,Q5,仕入10%,5000,454,1,000,共通部門,322,未払金,,,00,対象外,39286,0,有線,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,67,21,0,1,010,札幌営業所,791,雑費,,,Q5,仕入10%,34286,3116,0,,,,,,,,,,,警備料,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,69,21,0,1,000,共通部門,326,預り金,3,源泉税,00,対象外,585612,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,881412,0,源泉税支払,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,69,21,0,1,000,共通部門,326,預り金,2,住民税,00,対象外,295800,0,0,,,,,,,,,,,住民税支払,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,85,21,0,1,030,名古屋支店,727,通信費,,,Q5,仕入10%,83624,7602,1,000,共通部門,131,普通預金,30,GHI銀行 名古屋,00,対象外,83624,0,電話代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,90,21,0,1,000,共通部門,131,普通預金,30,GHI銀行 名古屋,00,対象外,803325,0,1,000,共通部門,152,売掛金,19,株式会社南風商会,00,対象外,803325,0,7月10日伝票No256株式会社南風商会,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,90,21,0,1,030,名古屋支店,741,支払手数料,,,Q5,仕入10%,735,66,1,000,共通部門,152,売掛金,19,株式会社南風商会,00,対象外,735,0,7月10日伝票No256株式会社南風商会,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,91,21,0,1,000,共通部門,150,受取手形,,,00,対象外,5619076,0,1,000,共通部門,152,売掛金,28,株式会社青葉百貨店,00,対象外,5619076,0,7月10日伝票No257株式会社青葉百貨店 | 売上伝票=20210630-123;手形番号=R20210710-91-28,200930,AZD0004671,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,92,21,0,1,000,共通部門,312,買掛金,3,青凪商事株式会社,00,対象外,335052,0,1,000,共通部門,152,売掛金,3,青凪商事株式会社,00,対象外,335052,0,7月10日伝票No475青凪商事株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,93,21,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,8476309,0,1,000,共通部門,152,売掛金,14,株式会社花咲商事,00,対象外,8476309,0,7月10日伝票No497株式会社花咲商事東京本社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,93,21,0,1,020,東京支店,741,支払手数料,,,Q5,仕入10%,840,76,1,000,共通部門,152,売掛金,14,株式会社花咲商事,00,対象外,840,0,7月10日伝票No497株式会社花咲商事東京本社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,94,21,0,1,000,共通部門,312,買掛金,3,青凪商事株式会社,00,対象外,2781026,0,1,000,共通部門,301,支払手形,,,00,対象外,2781026,0,7月10日伝票No170青凪商事株式会社,201010,P2155,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,95,21,0,1,000,共通部門,312,買掛金,8,株式会社白樺商事,00,対象外,406425,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,406425,0,7月10日伝票No171株式会社白樺商事,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,96,21,0,1,020,東京支店,747,地代家賃,,,Q5,仕入10%,1260000,114545,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,1260000,0,家賃支払,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,112,21,0,1,040,大阪支店,727,通信費,,,Q5,仕入10%,246816,22437,1,000,共通部門,131,普通預金,40,JKL銀行 梅田,00,対象外,246816,0,電話代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,129,21,0,1,030,名古屋支店,747,地代家賃,,,Q5,仕入10%,399000,36272,1,000,共通部門,131,普通預金,30,GHI銀行 名古屋,00,対象外,399000,0,家賃支払い,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,138,21,0,1,000,共通部門,301,支払手形,,,00,対象外,7368349,0,1,000,共通部門,121,当座預金,1,ABC銀行,00,対象外,7368349,0,手形期日落日 青凪商事株式会社,,P2128,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,152,21,0,1,050,九州営業所,733,交際接待費,,,Q5,仕入10%,1570,142,1,000,共通部門,111,現金,,,00,対象外,1570,0,コーヒー代2名,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,162,21,0,1,020,東京支店,734,会議費,,,Q5,仕入10%,24995,2272,1,000,共通部門,111,現金,,,00,対象外,24995,0,会議　食事代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,167,21,0,1,050,九州営業所,747,地代家賃,,,Q5,仕入10%,600000,54545,1,000,共通部門,131,普通預金,50,MNO銀行 北九州,00,対象外,758107,0,家賃支払い,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,167,21,0,1,050,九州営業所,727,通信費,,,Q5,仕入10%,158107,14373,0,,,,,,,,,,,電話代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,168,21,0,1,050,九州営業所,791,雑費,,,Q5,仕入10%,6000,545,1,000,共通部門,322,未払金,,,00,対象外,48858,0,有線,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210710,168,21,0,1,050,九州営業所,791,雑費,,,Q5,仕入10%,42858,3896,0,,,,,,,,,,,警備料,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210711,23,21,0,1,010,札幌営業所,726,旅費交通費,,,Q5,仕入10%,34953,3177,1,000,共通部門,111,現金,,,00,対象外,118199,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210711,23,21,0,1,010,札幌営業所,726,旅費交通費,,,Q5,仕入10%,27334,2484,0,,,,,,,,,,,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210711,23,21,0,1,010,札幌営業所,726,旅費交通費,,,Q5,仕入10%,55912,5082,0,,,,,,,,,,,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210711,61,21,0,1,000,共通部門,111,現金,,,00,対象外,2000000,0,1,000,共通部門,121,当座預金,1,ABC銀行,00,対象外,2000000,0,引き出し,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210711,69,21,0,1,020,東京支店,791,雑費,,,Q5,仕入10%,760,69,1,000,共通部門,111,現金,,,00,対象外,1565,0,トイレットペーパー代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210711,69,21,0,1,020,東京支店,791,雑費,,,Q5,仕入10%,805,73,0,,,,,,,,,,,洗剤代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210712,58,21,0,1,020,東京支店,726,旅費交通費,,,Q5,仕入10%,59870,5442,1,000,共通部門,111,現金,,,00,対象外,59870,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210712,74,21,0,1,020,東京支店,733,交際接待費,,,Q5,仕入10%,8690,790,1,000,共通部門,111,現金,,,00,対象外,8690,0,食事代 架空店舗030 4名,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210712,81,21,0,1,030,名古屋支店,726,旅費交通費,,,Q5,仕入10%,20500,1863,1,000,共通部門,111,現金,,,00,対象外,20500,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210712,149,21,0,1,030,名古屋支店,733,交際接待費,,,Q5,仕入10%,10000,909,1,000,共通部門,111,現金,,,00,対象外,10000,0,香典代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210714,51,21,0,1,020,東京支店,740,車両費,,,Q5,仕入10%,760,69,1,000,共通部門,111,現金,,,00,対象外,1565,0,高速代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210714,51,21,0,1,020,東京支店,740,車両費,,,Q5,仕入10%,805,73,0,,,,,,,,,,,駐車代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210714,74,21,0,1,020,東京支店,733,交際接待費,,,Q5,仕入10%,7900,718,1,000,共通部門,111,現金,,,00,対象外,7900,0,ゴルフプレー代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210714,104,21,0,1,040,大阪支店,733,交際接待費,,,Q5,仕入10%,1575,143,1,000,共通部門,111,現金,,,00,対象外,1575,0,手土産代 架空店舗089,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,46,21,0,1,020,東京支店,740,車両費,,,Q5,仕入10%,14000,1272,1,000,共通部門,111,現金,,,00,対象外,14000,0,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,84,21,0,1,020,東京支店,721,雑給,,,00,対象外,364425,0,1,000,共通部門,111,現金,,,00,対象外,351930,0,7月給与その他 0060 パート･アルバイト,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,84,21,0,0,,,,,,,,,,,1,000,共通部門,326,預り金,3,源泉税,00,対象外,860,0,7月給与その他 0060 パート･アルバイト,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,84,21,0,0,,,,,,,,,,,1,000,共通部門,326,預り金,9,その他,00,対象外,11635,0,7月給与その他 0060 パート･アルバイト,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,96,21,0,1,000,共通部門,131,普通預金,50,MNO銀行 北九州,00,対象外,1199040,0,1,000,共通部門,152,売掛金,1,株式会社若葉百貨店,00,対象外,1199040,0,7月15日伝票No258株式会社若葉百貨店,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,96,21,0,1,050,九州営業所,741,支払手数料,,,Q5,仕入10%,840,76,1,000,共通部門,152,売掛金,1,株式会社若葉百貨店,00,対象外,840,0,7月15日伝票No258株式会社若葉百貨店,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,97,21,0,1,000,共通部門,131,普通預金,30,GHI銀行 名古屋,00,対象外,892572,0,1,000,共通部門,152,売掛金,6,株式会社瑞穂流通,00,対象外,892572,0,7月15日伝票No259株式会社瑞穂流通,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,97,21,0,1,030,名古屋支店,741,支払手数料,,,Q5,仕入10%,840,76,1,000,共通部門,152,売掛金,6,株式会社瑞穂流通,00,対象外,840,0,7月15日伝票No259株式会社瑞穂流通,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,98,21,0,1,000,共通部門,131,普通預金,40,JKL銀行 梅田,00,対象外,746052,0,1,000,共通部門,152,売掛金,8,株式会社高原マーケット,00,対象外,746052,0,7月15日伝票No260株式会社高原マーケット,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,98,21,0,1,040,大阪支店,741,支払手数料,,,Q5,仕入10%,840,76,1,000,共通部門,152,売掛金,8,株式会社高原マーケット,00,対象外,840,0,7月15日伝票No260株式会社高原マーケット,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,99,21,0,1,000,共通部門,131,普通預金,40,JKL銀行 梅田,00,対象外,745464,0,1,000,共通部門,152,売掛金,9,朝凪物産株式会社,00,対象外,745464,0,7月15日伝票No261朝凪物産株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,99,21,0,1,040,大阪支店,741,支払手数料,,,Q5,仕入10%,840,76,1,000,共通部門,152,売掛金,9,朝凪物産株式会社,00,対象外,840,0,7月15日伝票No261朝凪物産株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,100,21,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,1101380,0,1,000,共通部門,152,売掛金,13,星川商事株式会社,00,対象外,1101380,0,7月15日伝票No262星川商事株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,101,21,0,1,000,共通部門,131,普通預金,40,JKL銀行 梅田,00,対象外,1015895,0,1,000,共通部門,152,売掛金,20,清和商事株式会社,00,対象外,1015895,0,7月15日伝票No263清和商事株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,101,21,0,1,040,大阪支店,741,支払手数料,,,Q5,仕入10%,315,28,1,000,共通部門,152,売掛金,20,清和商事株式会社,00,対象外,315,0,7月15日伝票No263清和商事株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,102,21,0,1,000,共通部門,312,買掛金,1,株式会社北辰商事,00,対象外,6139435,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,6139435,0,7月15日伝票No172株式会社北辰商事,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,117,21,0,1,040,大阪支店,742,諸会費,,,00,対象外,20000,0,1,000,共通部門,111,現金,,,00,対象外,20000,0,会費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,130,21,0,1,040,大阪支店,742,諸会費,,,00,対象外,24000,0,1,000,共通部門,131,普通預金,40,JKL銀行 梅田,00,対象外,24000,0,会費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210715,141,21,0,1,040,大阪支店,726,旅費交通費,,,Q5,仕入10%,7500,681,1,000,共通部門,111,現金,,,00,対象外,7500,0,架空鉄道会社A代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210716,11,21,0,1,010,札幌営業所,740,車両費,,,Q5,仕入10%,3210,291,1,000,共通部門,111,現金,,,00,対象外,3210,0,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210716,52,21,0,1,020,東京支店,740,車両費,,,Q5,仕入10%,3381,307,1,000,共通部門,111,現金,,,00,対象外,74810,0,高速代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210716,52,21,0,1,020,東京支店,740,車両費,,,Q5,仕入10%,71429,6493,0,,,,,,,,,,,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:33,,,,,,,,,,,,,,,,,,,,,,,,,
20210716,61,21,0,1,020,東京支店,727,通信費,,,Q5,仕入10%,134577,12234,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,134577,0,電話代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210716,105,21,0,1,040,大阪支店,733,交際接待費,,,Q5,仕入10%,17461,1587,1,000,共通部門,111,現金,,,00,対象外,48766,0,飲食代 架空店舗027 4名,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210716,105,21,0,1,040,大阪支店,733,交際接待費,,,Q5,仕入10%,31305,2845,0,,,,,,,,,,,飲食代 架空店舗026 4名,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210716,136,21,0,1,040,大阪支店,791,雑費,,,Q5,仕入10%,16500,1500,1,000,共通部門,111,現金,,,00,対象外,16500,0,架空清掃会社A代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210716,161,21,0,1,050,九州営業所,726,旅費交通費,,,Q5,仕入10%,3500,318,1,000,共通部門,111,現金,,,00,対象外,3500,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210717,4,21,0,1,010,札幌営業所,732,広告宣伝費,,,Q5,仕入10%,31500,2863,1,000,共通部門,322,未払金,,,00,対象外,31500,0,広告費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210717,12,21,0,1,010,札幌営業所,740,車両費,,,Q5,仕入10%,800,72,1,000,共通部門,111,現金,,,00,対象外,800,0,駐車代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210717,12,21,0,1,010,札幌営業所,740,車両費,,,Q5,仕入10%,4456,405,1,000,共通部門,111,現金,,,00,対象外,8471,0,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210717,12,21,0,1,010,札幌営業所,740,車両費,,,Q5,仕入10%,4015,365,0,,,,,,,,,,,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210718,59,21,0,1,020,東京支店,726,旅費交通費,,,Q5,仕入10%,45000,4090,1,000,共通部門,111,現金,,,00,対象外,45000,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
20210718,82,21,0,1,030,名古屋支店,726,旅費交通費,,,Q5,仕入10%,9800,890,1,000,共通部門,111,現金,,,00,対象外,9800,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:34,,,,,,,,,,,,,,,,,,,,,,,,,
