sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path
5777,4,A,,Postal Code,Code,0..1,POSTAL CODE,The code that identifies a specific geographic delivery area for an address.,JP,0,P Order.Customer.(Physical) Address.Postal Code,GE10aa_05,/JP15a/GE10aa_05,$.JP Order.Customer.(Physical) Address.Postal Code,JpOrd.Cust.PhysclAdr.PostlCod
5778,4,A,,Country Code,Code,0..1,COUNTRY CODE,"The official code representing the country of an address, as standardized by ISO 3166-1.",JP,0,P Order.Customer.(Physical) Address.Country Code,GE10aa_06,/JP15a/GE10aa_06,$.JP Order.Customer.(Physical) Address.Country Code,JpOrd.Cust.PhysclAdr.ContryCod
5779,3,C,,P Order.Customer.(Primary) Contact,,0..1,,A class that details the communication information for an individual or entity.,JP,0,P Order.Customer.(Primary) Contact,GE11r,/JP15a/GE11r,$.JP Order.Customer.(Primary) Contact,JpOrd.Cust.PrmryCnt
5780,4,A,,Name,Name,0..1,Name Medium,The full name of an individual or entity that is a point of contact.,JP,0,P Order.Customer.(Primary) Contact.Name,GE11r_01,/JP15a/GE11r_01,$.JP Order.Customer.(Primary) Contact.Name,JpOrd.Cust.PrmryCnt.Nm
5781,4,A,,Phone,Char,0..1,PHONE NUMBER,The telephone number associated with a contact.,JP,0,P Order.Customer.(Primary) Contact.Phone,GE11r_02,/JP15a/GE11r_02,$.JP Order.Customer.(Primary) Contact.Phone,JpOrd.Cust.PrmryCnt.Phn
5782,4,A,,Email,Char,0..1,EMAIL,The electronic mail address associated with a contact.,JP,0,P Order.Customer.(Primary) Contact.Email,GE11r_03,/JP15a/GE11r_03,$.JP Order.Customer.(Primary) Contact.Email,JpOrd.Cust.PrmryCnt.Eml
5783,2,C,,P Order.Supplier,,0..1,,A class containing essential information about suppliers.,JP,0,P Order.Supplier,GE22a1,/JP15a/GE22a1,$.JP Order.Supplier,JpOrd.Supl
5784,3,A,PK,Account ID,Identifier,1..1,Identifier Long,The unique identifier for a supplier account.,JP,0,P Order.Supplier.Account ID,GE22a1_01,/JP15a/GE22a1_01,$.JP Order.Supplier.Account ID,JpOrd.Supl.AcntId
5785,3,A,,Abbreviation,Name,0..1,Name Medium,The shortened form of the supplier's name.,JP,0,P Order.Supplier.Abbreviation,GE22a1_02,/JP15a/GE22a1_02,$.JP Order.Supplier.Abbreviation,JpOrd.Supl.Abrv
5786,3,A,,TIN,Char,0..1,TAX IDENTIFICATION NUMBER,The tax identification number assigned to the supplier by tax authorities.,JP,0,P Order.Supplier.TIN,GE22a1_03,/JP15a/GE22a1_03,$.JP Order.Supplier.TIN,JpOrd.Supl.Tin
5787,3,A,,Group,Char,0..1,Char Long,The classification of the supplier within an organization's segmentation system.,JP,0,P Order.Supplier.Group,GE22a1_04,/JP15a/GE22a1_04,$.JP Order.Supplier.Group,JpOrd.Supl.Grp
5788,3,A,,Account Number,Char,0..1,Char Long,The number for a supplier's account.,JP,18,P Order.Supplier.Account Number,GE22a1_BS20_01,/JP15a/GE22a1_BS20_01,$.JP Order.Supplier.Account Number,JpOrd.Supl.AcntNr
5789,3,A,,Account Name,Name,0..1,Name Medium,The legal or registered name of the supplier.,JP,18,P Order.Supplier.Account Name,GE22a1_BS20_02,/JP15a/GE22a1_BS20_02,$.JP Order.Supplier.Account Name,JpOrd.Supl.AcntNam
5790,3,R,,P Order.Supplier.Supplier Type,,0..1,,"The reference association to the Supplier Type class, which is a class with comprehensive descriptions of supplier classifications based on defined criteria.",JP,16,P Order.Supplier.Supplier Type,BS22l,/JP15a/BS22l,$.JP Order.Supplier.Supplier Type,JpOrd.Supl.SuplTyp
5791,4,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for the type of supplier.,JP,16,P Order.Supplier.Supplier Type.ID,BS22l_01,/JP15a/BS22l_01,$.JP Order.Supplier.Supplier Type.ID,JpOrd.Supl.SuplTyp.Id
5792,3,R,,P Order.Supplier.(Corresponding) Customer,,0..1,,"The reference association to the Corresponding Customer class, which is a class holds basic and broad details about customer.",JP,0,P Order.Supplier.(Corresponding) Customer,GE21a1,/JP15a/GE21a1,$.JP Order.Supplier.(Corresponding) Customer,JpOrd.Supl.CorrspCust
5793,4,A,REF,Account ID,Identifier,1..1,Identifier Long,The reference identifier for a customer account.,JP,0,P Order.Supplier.(Corresponding) Customer.Account ID,GE21a1_01,/JP15a/GE21a1_01,$.JP Order.Supplier.(Corresponding) Customer.Account ID,JpOrd.Supl.CorrspCust.AcntId
5794,3,C,,P Order.Supplier.(Billing) Address,,0..1,,A class that specifies the location details of an individual or entity.,JP,0,P Order.Supplier.(Billing) Address,GE10ab,/JP15a/GE10ab,$.JP Order.Supplier.(Billing) Address,JpOrd.Supl.BillngAdr
5795,4,A,,Street Address1,Name,0..1,Name Medium,The primary line of the street address.,JP,0,P Order.Supplier.(Billing) Address.Street Address1,GE10ab_01,/JP15a/GE10ab_01,$.JP Order.Supplier.(Billing) Address.Street Address1,JpOrd.Supl.BillngAdr.StrtAddrss
5796,4,A,,Street Address2,Name,0..1,Name Medium,"The secondary line of the street address, if applicable.",JP,0,P Order.Supplier.(Billing) Address.Street Address2,GE10ab_02,/JP15a/GE10ab_02,$.JP Order.Supplier.(Billing) Address.Street Address2,JpOrd.Supl.BillngAdr.StrtAddrss
5797,4,A,,City Name,Name,0..1,CITY NAME,The municipal designation within an address.,JP,0,P Order.Supplier.(Billing) Address.City Name,GE10ab_03,/JP15a/GE10ab_03,$.JP Order.Supplier.(Billing) Address.City Name,JpOrd.Supl.BillngAdr.CityNam
5798,4,A,,State Province Code,Code,0..1,STATE PROVINCE CODE,The code for the state or province of the address as specified by ISO 3166-2.,JP,0,P Order.Supplier.(Billing) Address.State Province Code,GE10ab_04,/JP15a/GE10ab_04,$.JP Order.Supplier.(Billing) Address.State Province Code,JpOrd.Supl.BillngAdr.SttPrvncCod
5799,4,A,,Postal Code,Code,0..1,POSTAL CODE,The code that identifies a specific geographic delivery area for an address.,JP,0,P Order.Supplier.(Billing) Address.Postal Code,GE10ab_05,/JP15a/GE10ab_05,$.JP Order.Supplier.(Billing) Address.Postal Code,JpOrd.Supl.BillngAdr.PostlCod
5800,4,A,,Country Code,Code,0..1,COUNTRY CODE,"The official code representing the country of an address, as standardized by ISO 3166-1.",JP,0,P Order.Supplier.(Billing) Address.Country Code,GE10ab_06,/JP15a/GE10ab_06,$.JP Order.Supplier.(Billing) Address.Country Code,JpOrd.Supl.BillngAdr.ContryCod
5801,3,C,,P Order.Supplier.(Physical) Address,,0..1,,A class that specifies the location details of an individual or entity.,JP,0,P Order.Supplier.(Physical) Address,GE10ac,/JP15a/GE10ac,$.JP Order.Supplier.(Physical) Address,JpOrd.Supl.PhysclAdr
5802,4,A,,Street Address1,Name,0..1,Name Medium,The primary line of the street address.,JP,0,P Order.Supplier.(Physical) Address.Street Address1,GE10ac_01,/JP15a/GE10ac_01,$.JP Order.Supplier.(Physical) Address.Street Address1,JpOrd.Supl.PhysclAdr.StrtAddrss
5803,4,A,,Street Address2,Name,0..1,Name Medium,"The secondary line of the street address, if applicable.",JP,0,P Order.Supplier.(Physical) Address.Street Address2,GE10ac_02,/JP15a/GE10ac_02,$.JP Order.Supplier.(Physical) Address.Street Address2,JpOrd.Supl.PhysclAdr.StrtAddrss
5804,4,A,,City Name,Name,0..1,CITY NAME,The municipal designation within an address.,JP,0,P Order.Supplier.(Physical) Address.City Name,GE10ac_03,/JP15a/GE10ac_03,$.JP Order.Supplier.(Physical) Address.City Name,JpOrd.Supl.PhysclAdr.CityNam
5805,4,A,,State Province Code,Code,0..1,STATE PROVINCE CODE,The code for the state or province of the address as specified by ISO 3166-2.,JP,0,P Order.Supplier.(Physical) Address.State Province Code,GE10ac_04,/JP15a/GE10ac_04,$.JP Order.Supplier.(Physical) Address.State Province Code,JpOrd.Supl.PhysclAdr.SttPrvncCod
5806,4,A,,Postal Code,Code,0..1,POSTAL CODE,The code that identifies a specific geographic delivery area for an address.,JP,0,P Order.Supplier.(Physical) Address.Postal Code,GE10ac_05,/JP15a/GE10ac_05,$.JP Order.Supplier.(Physical) Address.Postal Code,JpOrd.Supl.PhysclAdr.PostlCod
5807,4,A,,Country Code,Code,0..1,COUNTRY CODE,"The official code representing the country of an address, as standardized by ISO 3166-1.",JP,0,P Order.Supplier.(Physical) Address.Country Code,GE10ac_06,/JP15a/GE10ac_06,$.JP Order.Supplier.(Physical) Address.Country Code,JpOrd.Supl.PhysclAdr.ContryCod
5808,3,C,,P Order.Supplier.(Primary) Contact,,0..1,,A class that details the communication information for an individual or entity.,JP,0,P Order.Supplier.(Primary) Contact,GE11s,/JP15a/GE11s,$.JP Order.Supplier.(Primary) Contact,JpOrd.Supl.PrmryCnt
5809,4,A,,Name,Name,0..1,Name Medium,The full name of an individual or entity that is a point of contact.,JP,0,P Order.Supplier.(Primary) Contact.Name,GE11s_01,/JP15a/GE11s_01,$.JP Order.Supplier.(Primary) Contact.Name,JpOrd.Supl.PrmryCnt.Nm
5810,4,A,,Phone,Char,0..1,PHONE NUMBER,The telephone number associated with a contact.,JP,0,P Order.Supplier.(Primary) Contact.Phone,GE11s_02,/JP15a/GE11s_02,$.JP Order.Supplier.(Primary) Contact.Phone,JpOrd.Supl.PrmryCnt.Phn
5811,4,A,,Email,Char,0..1,EMAIL,The electronic mail address associated with a contact.,JP,0,P Order.Supplier.(Primary) Contact.Email,GE11s_03,/JP15a/GE11s_03,$.JP Order.Supplier.(Primary) Contact.Email,JpOrd.Supl.PrmryCnt.Eml
5812,2,C,,P Order.(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order.(Local) Amount,GE05kg,/JP15a/GE05kg,$.JP Order.(Local) Amount,JpOrd.LoclAmt
5813,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order.(Local) Amount.Value,GE05kg_01,/JP15a/GE05kg_01,$.JP Order.(Local) Amount.Value,JpOrd.LoclAmt.Vl
5814,3,R,,P Order.(Local) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order.(Local) Amount.Currency,BS01km,/JP15a/BS01km,$.JP Order.(Local) Amount.Currency,JpOrd.LoclAmt.Cur
5815,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order.(Local) Amount.Currency.Code,BS01km_01,/JP15a/BS01km_01,$.JP Order.(Local) Amount.Currency.Code,JpOrd.LoclAmt.Cur.Cd
5816,2,R,,P Order.Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,P Order.Business Segment,BS04e1,/JP15a/BS04e1,$.JP Order.Business Segment,JpOrd.BusSg
5817,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,P Order.Business Segment.Code,BS04e1_01,/JP15a/BS04e1/BS04e1_01,$.JP Order.Business Segment.Code,JpOrd.BusSg.Cd
5818,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,P Order.Business Segment.Segment Reference Level,BS04e1_03,/JP15a/BS04e1/BS04e1_03,$.JP Order.Business Segment.Segment Reference Level,JpOrd.BusSg.SgRefLevl
5819,2,C,,P Order.Order Line,,0..*,,A class that details individual requests or items within an order.,JP,0,P Order.Order Line,GE28e,/JP15a/GE28e,$.JP Order.Order Line,JpOrd.OrdLin
5820,3,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,JP,0,P Order.Order Line.ID,GE28e_GE04_01,/JP15a/GE28e/GE28e_GE04_01,$.JP Order.Order Line.ID,JpOrd.OrdLin.Id
5821,3,A,,Number,Char,0..1,Char Short,"The number for a specific line within a contract, enabling distinction and reference.",JP,0,P Order.Order Line.Number,GE28e_GE04_02,/JP15a/GE28e/GE28e_GE04_02,$.JP Order.Order Line.Number,JpOrd.OrdLin.Nr
5822,3,A,,Status,Code,0..1,STATUS CODE,The current state of the contract line item's lifecycle.,JP,0,P Order.Order Line.Status,GE28e_GE04_04,/JP15a/GE28e/GE28e_GE04_04,$.JP Order.Order Line.Status,JpOrd.OrdLin.Stat
5823,3,A,,Payer ID,Char,0..1,Char Medium,The unique identifier for the entity responsible for making payment on an order line.,JP,0,P Order.Order Line.Payer ID,GE28e_03,/JP15a/GE28e/GE28e_03,$.JP Order.Order Line.Payer ID,JpOrd.OrdLin.PayrId
5824,3,A,,Due Date,Date,0..1,DATE,The ultimate date by which the order is requested.,JP,0,P Order.Order Line.Due Date,GE28e_04,/JP15a/GE28e/GE28e_04,$.JP Order.Order Line.Due Date,JpOrd.OrdLin.DuDt
5825,3,R,,P Order.Order Line.Inventory Product,,0..1,,"The reference association to the Inventory Product class, which is a class that describes an inventory item with all its essential attributes and tracking details.",JP,125,P Order.Order Line.Inventory Product,IV06w,/JP15a/GE28e/IV06w,$.JP Order.Order Line.Inventory Product,JpOrd.OrdLin.InvPrdct
5826,4,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for an inventory item.,JP,125,P Order.Order Line.Inventory Product.ID,IV06w_01,/JP15a/GE28e/IV06w_01,$.JP Order.Order Line.Inventory Product.ID,JpOrd.OrdLin.InvPrdct.Id
5827,3,R,,P Order.Order Line.(Receipt Organization) Business Segment,,0..1,,"The reference association to the Receipt Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,P Order.Order Line.(Receipt Organization) Business Segment,BS04e2,/JP15a/GE28e/BS04e2,$.JP Order.Order Line.(Receipt Organization) Business Segment,JpOrd.OrdLin.RecptOrgnztBusSg
5828,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,P Order.Order Line.(Receipt Organization) Business Segment.Code,BS04e2_01,/JP15a/GE28e/BS04e2_01,$.JP Order.Order Line.(Receipt Organization) Business Segment.Code,JpOrd.OrdLin.RecptOrgnztBusSg.Cd
5829,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,P Order.Order Line.(Receipt Organization) Business Segment.Segment Reference Level,BS04e2_03,/JP15a/GE28e/BS04e2_03,$.JP Order.Order Line.(Receipt Organization) Business Segment.Segment Reference Level,JpOrd.OrdLin.RecptOrgnztBusSg.SgRefLevl
5830,3,R,,P Order.Order Line.(Dispatch Organization) Business Segment,,0..1,,"The reference association to the Dispatch Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,P Order.Order Line.(Dispatch Organization) Business Segment,BS04e3,/JP15a/GE28e/BS04e3,$.JP Order.Order Line.(Dispatch Organization) Business Segment,JpOrd.OrdLin.DisptcOrgnztBusSg
5831,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,P Order.Order Line.(Dispatch Organization) Business Segment.Code,BS04e3_01,/JP15a/GE28e/BS04e3_01,$.JP Order.Order Line.(Dispatch Organization) Business Segment.Code,JpOrd.OrdLin.DisptcOrgnztBusSg.Cd
5832,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,P Order.Order Line.(Dispatch Organization) Business Segment.Segment Reference Level,BS04e3_03,/JP15a/GE28e/BS04e3_03,$.JP Order.Order Line.(Dispatch Organization) Business Segment.Segment Reference Level,JpOrd.OrdLin.DisptcOrgnztBusSg.SgRefLevl
5833,3,R,,P Order.Order Line.(Settlement Organization) Business Segment,,0..1,,"The reference association to the Settlement Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,P Order.Order Line.(Settlement Organization) Business Segment,BS04e4,/JP15a/GE28e/BS04e4,$.JP Order.Order Line.(Settlement Organization) Business Segment,JpOrd.OrdLin.SettlmOrgnztBusSg
5834,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,P Order.Order Line.(Settlement Organization) Business Segment.Code,BS04e4_01,/JP15a/GE28e/BS04e4_01,$.JP Order.Order Line.(Settlement Organization) Business Segment.Code,JpOrd.OrdLin.SettlmOrgnztBusSg.Cd
5835,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,P Order.Order Line.(Settlement Organization) Business Segment.Segment Reference Level,BS04e4_03,/JP15a/GE28e/BS04e4_03,$.JP Order.Order Line.(Settlement Organization) Business Segment.Segment Reference Level,JpOrd.OrdLin.SettlmOrgnztBusSg.SgRefLevl
5836,3,R,,P Order.Order Line.Contract,,0..1,,"The reference association to the Contract class, which is a class that encapsulates the terms and agreements between parties.",JP,0,P Order.Order Line.Contract,GE25h,/JP15a/GE28e/GE25h,$.JP Order.Order Line.Contract,JpOrd.OrdLin.Contr
5837,4,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for a business document.,JP,0,P Order.Order Line.Contract.ID,GE25h_GE03_01,/JP15a/GE28e/GE25h_GE03_01,$.JP Order.Order Line.Contract.ID,JpOrd.OrdLin.Contr.Id
5838,3,R,,P Order.Order Line.Contract Line,,0..1,,"The reference association to the Contract Line class, which is a class representing the specifics of goods or services agreed upon in a contract.",JP,0,P Order.Order Line.Contract Line,GE26h,/JP15a/GE28e/GE26h,$.JP Order.Order Line.Contract Line,JpOrd.OrdLin.ContrLin
5839,4,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for a line item within a contract.,JP,0,P Order.Order Line.Contract Line.ID,GE26h_GE04_01,/JP15a/GE28e/GE26h_GE04_01,$.JP Order.Order Line.Contract Line.ID,JpOrd.OrdLin.ContrLin.Id
5840,3,C,,P Order.Order Line.(Tax Excluded Line Extension Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order.Order Line.(Tax Excluded Line Extension Transaction) Amount,GE05kh,/JP15a/GE28e/GE05kh,$.JP Order.Order Line.(Tax Excluded Line Extension Transaction) Amount,JpOrd.OrdLin.TaxExclddLinExtnsnTrnsctAmt
5841,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order.Order Line.(Tax Excluded Line Extension Transaction) Amount.Value,GE05kh_01,/JP15a/GE28e/GE05kh_01,$.JP Order.Order Line.(Tax Excluded Line Extension Transaction) Amount.Value,JpOrd.OrdLin.TaxExclddLinExtnsnTrnsctAmt.Vl
5842,4,R,,P Order.Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order.Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency,BS01kn,/JP15a/GE28e/BS01kn,$.JP Order.Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency,JpOrd.OrdLin.TaxExclddLinExtnsnTrnsctAmt.Cur
5843,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order.Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency.Code,BS01kn_01,/JP15a/GE28e/BS01kn_01,$.JP Order.Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency.Code,JpOrd.OrdLin.TaxExclddLinExtnsnTrnsctAmt.Cur.Cd
5844,3,C,,P Order.Order Line.(Tax Included Line Extension Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order.Order Line.(Tax Included Line Extension Transaction) Amount,GE05ki,/JP15a/GE28e/GE05ki,$.JP Order.Order Line.(Tax Included Line Extension Transaction) Amount,JpOrd.OrdLin.TaxInclddLinExtnsnTrnsctAmt
5845,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order.Order Line.(Tax Included Line Extension Transaction) Amount.Value,GE05ki_01,/JP15a/GE28e/GE05ki_01,$.JP Order.Order Line.(Tax Included Line Extension Transaction) Amount.Value,JpOrd.OrdLin.TaxInclddLinExtnsnTrnsctAmt.Vl
5846,4,R,,P Order.Order Line.(Tax Included Line Extension Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order.Order Line.(Tax Included Line Extension Transaction) Amount.Currency,BS01ko,/JP15a/GE28e/BS01ko,$.JP Order.Order Line.(Tax Included Line Extension Transaction) Amount.Currency,JpOrd.OrdLin.TaxInclddLinExtnsnTrnsctAmt.Cur
5847,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order.Order Line.(Tax Included Line Extension Transaction) Amount.Currency.Code,BS01ko_01,/JP15a/GE28e/BS01ko_01,$.JP Order.Order Line.(Tax Included Line Extension Transaction) Amount.Currency.Code,JpOrd.OrdLin.TaxInclddLinExtnsnTrnsctAmt.Cur.Cd
5848,3,C,,P Order.Order Line.(Tax Excluded Unit Price Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order.Order Line.(Tax Excluded Unit Price Transaction) Amount,GE05kj,/JP15a/GE28e/GE05kj,$.JP Order.Order Line.(Tax Excluded Unit Price Transaction) Amount,JpOrd.OrdLin.TaxExclddUntPrcTrnsctAmt
5849,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order.Order Line.(Tax Excluded Unit Price Transaction) Amount.Value,GE05kj_01,/JP15a/GE28e/GE05kj_01,$.JP Order.Order Line.(Tax Excluded Unit Price Transaction) Amount.Value,JpOrd.OrdLin.TaxExclddUntPrcTrnsctAmt.Vl
5850,4,R,,P Order.Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order.Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency,BS01kp,/JP15a/GE28e/BS01kp,$.JP Order.Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency,JpOrd.OrdLin.TaxExclddUntPrcTrnsctAmt.Cur
5851,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order.Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency.Code,BS01kp_01,/JP15a/GE28e/BS01kp_01,$.JP Order.Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency.Code,JpOrd.OrdLin.TaxExclddUntPrcTrnsctAmt.Cur.Cd
5852,3,C,,P Order.Order Line.(Tax Included Unit Price Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order.Order Line.(Tax Included Unit Price Transaction) Amount,GE05kk,/JP15a/GE28e/GE05kk,$.JP Order.Order Line.(Tax Included Unit Price Transaction) Amount,JpOrd.OrdLin.TaxInclddUntPrcTrnsctAmt
5853,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order.Order Line.(Tax Included Unit Price Transaction) Amount.Value,GE05kk_01,/JP15a/GE28e/GE05kk_01,$.JP Order.Order Line.(Tax Included Unit Price Transaction) Amount.Value,JpOrd.OrdLin.TaxInclddUntPrcTrnsctAmt.Vl
5854,4,R,,P Order.Order Line.(Tax Included Unit Price Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order.Order Line.(Tax Included Unit Price Transaction) Amount.Currency,BS01kq,/JP15a/GE28e/BS01kq,$.JP Order.Order Line.(Tax Included Unit Price Transaction) Amount.Currency,JpOrd.OrdLin.TaxInclddUntPrcTrnsctAmt.Cur
5855,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order.Order Line.(Tax Included Unit Price Transaction) Amount.Currency.Code,BS01kq_01,/JP15a/GE28e/BS01kq_01,$.JP Order.Order Line.(Tax Included Unit Price Transaction) Amount.Currency.Code,JpOrd.OrdLin.TaxInclddUntPrcTrnsctAmt.Cur.Cd
5856,3,C,,P Order.Order Line.Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",JP,0,P Order.Order Line.Quantity,GE07by,/JP15a/GE28e/GE07by,$.JP Order.Order Line.Quantity,JpOrd.OrdLin.Qt
5857,4,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,JP,0,P Order.Order Line.Quantity.Value,GE07by_01,/JP15a/GE28e/GE07by_01,$.JP Order.Order Line.Quantity.Value,JpOrd.OrdLin.Qt.Vl
5858,4,R,,P Order.Order Line.Quantity.Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Order.Order Line.Quantity.Measurement Unit,BS02cX,/JP15a/GE28e/BS02cX,$.JP Order.Order Line.Quantity.Measurement Unit,JpOrd.OrdLin.Qt.MeaUnt
5859,5,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Order.Order Line.Quantity.Measurement Unit.UOM Code,BS02cX_01,/JP15a/GE28e/BS02cX_01,$.JP Order.Order Line.Quantity.Measurement Unit.UOM Code,JpOrd.OrdLin.Qt.MeaUnt.UomCod
5860,3,C,,P Order.Order Line.(Base) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",JP,0,P Order.Order Line.(Base) Quantity,GE07bz,/JP15a/GE28e/GE07bz,$.JP Order.Order Line.(Base) Quantity,JpOrd.OrdLin.BasQt
5861,4,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,JP,0,P Order.Order Line.(Base) Quantity.Value,GE07bz_01,/JP15a/GE28e/GE07bz_01,$.JP Order.Order Line.(Base) Quantity.Value,JpOrd.OrdLin.BasQt.Vl
5862,4,R,,P Order.Order Line.(Base) Quantity.Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Order.Order Line.(Base) Quantity.Measurement Unit,BS02cY,/JP15a/GE28e/BS02cY,$.JP Order.Order Line.(Base) Quantity.Measurement Unit,JpOrd.OrdLin.BasQt.MeaUnt
5863,5,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Order.Order Line.(Base) Quantity.Measurement Unit.UOM Code,BS02cY_01,/JP15a/GE28e/BS02cY_01,$.JP Order.Order Line.(Base) Quantity.Measurement Unit.UOM Code,JpOrd.OrdLin.BasQt.MeaUnt.UomCod
5864,3,R,,P Order.Order Line.Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,P Order.Order Line.Business Segment,BS04e5,/JP15a/GE28e/BS04e5,$.JP Order.Order Line.Business Segment,JpOrd.OrdLin.BusSg
5865,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,P Order.Order Line.Business Segment.Code,BS04e5_01,/JP15a/GE28e/BS04e5/BS04e5_01,$.JP Order.Order Line.Business Segment.Code,JpOrd.OrdLin.BusSg.Cd
5866,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,P Order.Order Line.Business Segment.Segment Reference Level,BS04e5_03,/JP15a/GE28e/BS04e5/BS04e5_03,$.JP Order.Order Line.Business Segment.Segment Reference Level,JpOrd.OrdLin.BusSg.SgRefLevl
